L1,size,label,top_terms
0,9,"mis, systems, information systems, literature, information, research, terms, based","mis, systems, information systems, literature, information, research, terms, based"
1,28,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","analysis, approach, behavioral, cognitive, design, development, form, integration, management, model"
2,3,"managers, information, requirements, approach, systems, field, information systems, critical","managers, information, requirements, approach, systems, field, information systems, critical"
